speaker,video,success,reason,time_sec,frames,save_path
s15_processed,bgam1s.mpg,False,no_mouth_frames,11.346,0,data/processed/grid/s15_processed\bgam1s.npy
s15_processed,bgil9a.mpg,False,no_mouth_frames,12.283,0,data/processed/grid/s15_processed\bgil9a.npy
s15_processed,brwf4p.mpg,False,no_mouth_frames,12.360,0,data/processed/grid/s15_processed\brwf4p.npy
s15_processed,bwaf3a.mpg,False,no_mouth_frames,12.445,0,data/processed/grid/s15_processed\bwaf3a.npy
s15_processed,lbio7s.mpg,False,no_mouth_frames,14.196,0,data/processed/grid/s15_processed\lbio7s.npy
s15_processed,lbwd2p.mpg,False,no_mouth_frames,15.282,0,data/processed/grid/s15_processed\lbwd2p.npy
s15_processed,lwij4n.mpg,False,no_mouth_frames,15.104,0,data/processed/grid/s15_processed\lwij4n.npy
s15_processed,lgwl5a.mpg,False,no_mouth_frames,15.311,0,data/processed/grid/s15_processed\lgwl5a.npy
s15_processed,pbbh7a.mpg,False,no_mouth_frames,15.202,0,data/processed/grid/s15_processed\pbbh7a.npy
s15_processed,pgbc9s.mpg,False,no_mouth_frames,15.393,0,data/processed/grid/s15_processed\pgbc9s.npy
s17_processed,lwbq6p.mpg,True,,4.158,75,data/processed/grid/s17_processed\lwbq6p.npy
s15_processed,prih5a.mpg,False,no_mouth_frames,10.388,0,data/processed/grid/s15_processed\prih5a.npy
s17_processed,lwbq7a.mpg,True,,4.979,73,data/processed/grid/s17_processed\lwbq7a.npy
s17_processed,lwbq4n.mpg,True,,5.752,75,data/processed/grid/s17_processed\lwbq4n.npy
s17_processed,lwbq5s.mpg,True,,5.981,75,data/processed/grid/s17_processed\lwbq5s.npy
s15_processed,pwib5s.mpg,False,no_mouth_frames,10.402,0,data/processed/grid/s15_processed\pwib5s.npy
s15_processed,sbaf6p.mpg,False,no_mouth_frames,10.160,0,data/processed/grid/s15_processed\sbaf6p.npy
s15_processed,sbiz5a.mpg,False,no_mouth_frames,10.336,0,data/processed/grid/s15_processed\sbiz5a.npy
s17_processed,lwbx8n.mpg,True,,3.458,74,data/processed/grid/s17_processed\lwbx8n.npy
s15_processed,sgwi2p.mpg,False,no_mouth_frames,9.825,0,data/processed/grid/s15_processed\sgwi2p.npy
s15_processed,lrax1s.mpg,False,no_mouth_frames,24.064,0,data/processed/grid/s15_processed\lrax1s.npy
s15_processed,swbh3a.mpg,False,no_mouth_frames,9.384,0,data/processed/grid/s15_processed\swbh3a.npy
s17_processed,lwic8n.mpg,True,,3.317,75,data/processed/grid/s17_processed\lwic8n.npy
s17_processed,lwbyzp.mpg,True,,3.859,75,data/processed/grid/s17_processed\lwbyzp.npy
s17_processed,lwbx9s.mpg,True,,4.247,75,data/processed/grid/s17_processed\lwbx9s.npy
s17_processed,lwby1a.mpg,True,,4.147,74,data/processed/grid/s17_processed\lwby1a.npy
s17_processed,lwic9s.mpg,True,,4.069,74,data/processed/grid/s17_processed\lwic9s.npy
s17_processed,lwid1a.mpg,True,,4.666,75,data/processed/grid/s17_processed\lwid1a.npy
s17_processed,lwidzp.mpg,True,,5.038,75,data/processed/grid/s17_processed\lwidzp.npy
s17_processed,lwij2n.mpg,True,,4.398,72,data/processed/grid/s17_processed\lwij2n.npy
s17_processed,lwij5a.mpg,True,,3.086,75,data/processed/grid/s17_processed\lwij5a.npy
s17_processed,lwip7s.mpg,True,,3.692,74,data/processed/grid/s17_processed\lwip7s.npy
s17_processed,lwij4p.mpg,True,,4.819,75,data/processed/grid/s17_processed\lwij4p.npy
s17_processed,lwij3s.mpg,True,,5.296,75,data/processed/grid/s17_processed\lwij3s.npy
s17_processed,lwip8p.mpg,True,,4.198,73,data/processed/grid/s17_processed\lwip8p.npy
